,index,method,dataset,model_name,backbone,width_mult,depth_mult,scenario,B,P,num_states,budget,acc@1,acc@5,acc1_std,acc5_std
0,0,deesil,imagenet_fauna,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,5,5,20,1500000.0,9.77,31.1,,
1,1,deesil,imagenet_fauna,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,10,10,10,1500000.0,6.85,24.29,,
2,2,deesil,imagenet_fauna,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,25,25,4,1500000.0,37.76,70.61,,
3,3,deesil,imagenet_fauna,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,6,11,1500000.0,24.03,59.64,,
4,4,deesil,imagenet_fauna,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,10,7,1500000.0,34.05,68.6,,
5,5,deesil,imagenet_fauna,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,15,5,1500000.0,40.1,71.94,,
6,6,deesil,imagenet_fauna,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,5,5,20,3000000.0,8.68,30.51,,
7,7,deesil,imagenet_fauna,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,10,10,10,3000000.0,12.6,37.08,,
8,8,deesil,imagenet_fauna,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,25,25,4,3000000.0,40.85,74.65,,
9,9,deesil,imagenet_fauna,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,6,11,3000000.0,34.78,70.38,,
10,10,deesil,imagenet_fauna,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,10,7,3000000.0,44.26,76.95,,
11,11,deesil,imagenet_fauna,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,15,5,3000000.0,49.95,79.78,,
12,12,deesil,imagenet_fauna,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,5,5,20,6000000.0,18.49,50.76,,
13,13,deesil,imagenet_fauna,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,10,10,10,6000000.0,31.69,67.41,,
14,14,deesil,imagenet_fauna,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,25,25,4,6000000.0,46.84,78.51,,
15,15,deesil,imagenet_fauna,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,6,11,6000000.0,40.82,74.16,,
