,dataset,ntot_states,ntot_classes,epochs_init,epochs_incr,algo,backbone,w_mult,d_mult,n_params,acc1,acc5
0,inat,10,100,70,70,lucir,shufflenet,0.2,0.2,2933360,29.93,53.55
1,inat,10,100,70,70,lucir,shufflenet,0.2,0.5,2936384,27.98,52.02
2,inat,10,100,70,70,lucir,shufflenet,1.0,0.2,3208360,31.23,55.38
3,inat,10,100,70,70,lucir,shufflenet,0.2,0.75,4004280,28.67,52.25
4,inat,10,100,70,70,lucir,shufflenet,0.1,0.75,3971856,28.5,51.94
5,inat,10,100,70,70,lucir,mobilenet,1.0,0.5,2934376,24.43,45.67
6,inat,10,100,70,70,lucir,mobilenet,0.2,2.0,1621264,21.12,43.95
7,inat,10,100,70,70,lucir,shufflenet,0.1,0.5,2906488,27.86,51.32
8,inat,10,100,70,70,lucir,shufflenet,0.2,1.0,4007304,29.27,53.24
9,inat,10,100,70,70,lucir,shufflenet,0.75,0.5,3147008,31.07,54.54
10,inat,10,100,70,70,lucir,mobilenet,1.0,1.0,3504872,24.04,46.73
11,inat,10,100,70,70,lucir,shufflenet,0.75,1.0,4287240,30.31,54.54
12,inat,10,100,70,70,lucir,mobilenet,0.2,0.5,1436136,20.73,39.08
13,inat,10,100,70,70,lucir,mobilenet,1.0,0.2,2426984,24.73,46.19
14,inat,10,100,70,70,lucir,mobilenet,0.1,0.5,1352744,20.65,41.11
15,inat,10,100,70,70,lucir,shufflenet,0.1,1.0,3972792,27.77,51.86
16,inat,10,100,70,70,lucir,shufflenet,1.0,0.5,3265664,30.36,54.27
17,inat,10,100,70,70,lucir,mobilenet,0.5,0.2,1681704,21.93,41.93
18,inat,10,100,70,70,lucir,shufflenet,1.0,1.0,4460408,29.12,54.0
19,inat,10,100,70,70,lucir,mobilenet,0.75,0.2,2014728,22.96,43.74
20,inat,10,100,70,70,lucir,mobilenet,0.5,0.75,1953832,22.86,44.43
21,inat,10,100,70,70,lucir,mobilenet,0.5,2.0,2714064,21.47,41.43
22,inat,10,100,70,70,lucir,mobilenet,0.75,0.75,2604936,23.68,43.83
23,inat,10,100,70,70,lucir,mobilenet,0.75,1.0,2636424,24.16,46.01
24,inat,10,100,70,70,lucir,shufflenet,2.0,0.2,3694912,32.4,56.85
25,inat,10,100,70,70,lucir,shufflenet,0.75,0.2,3113392,31.02,55.34
26,inat,10,100,70,70,lucir,mobilenet,0.1,2.0,1420880,17.96,37.54
27,inat,10,100,70,70,lucir,shufflenet,0.5,0.75,4127792,29.48,53.71
28,inat,10,100,70,70,lucir,mobilenet,0.75,0.5,2305416,23.62,44.51
29,inat,10,100,70,70,lucir,shufflenet,1.0,0.75,4403104,29.79,54.43
30,inat,10,100,70,70,lucir,shufflenet,0.5,1.0,4143992,29.84,52.97
31,inat,10,100,100,100,lucir,resnetBasic,0.4,1.0,2010792,30.08,54.1
32,inat,10,100,100,100,lucir,resnetBasic,0.4,0.4,1004712,30.55,54.21
33,inat,10,100,100,100,lucir,resnetBasic,0.2,0.4,299688,29.01,51.4
34,inat,10,100,100,100,lucir,resnetBasic,0.2,1.0,530856,28.99,51.74
35,inat,10,100,100,100,lucir,resnetBasic,1.0,1.0,11689512,30.45,55.88
36,inat,10,100,100,100,lucir,resnetBasic,0.6,0.4,2142088,30.92,54.47
37,inat,10,100,100,100,lucir,resnetBasic,0.1,1.0,196616,27.1,48.99
